Año,Departamento,Poblacion total
2009,Amazonas,407451
2009,Áncash,1096786
2009,Apurímac,431180
2009,Arequipa,1208011
2009,Ayacucho,646351
2009,Cajamarca,1433705
2009,Prov. Const. del Callao,913819
2009,Cusco,1221287
2009,Huancavelica,448966
2009,Huánuco,778293
2009,Ica,753634
2009,Junín,1277951
2009,La Libertad,1693454
2009,Lambayeque,1152637
2009,Lima,8753931
2009,Loreto,925658
2009,Madre de Dios,120061
2009,Moquegua,167263
2009,Pasco,282725
2009,Piura,1749565
2009,Puno,1286238
2009,San Martín,765374
2009,Tacna,302271
2009,Tumbes,209092
2009,Ucayali,459616
2010,Amazonas,407420
2010,Áncash,1098254
2010,Apurímac,429378
2010,Arequipa,1224189
2010,Ayacucho,646633
2010,Cajamarca,1429490
2010,Prov. Const. del Callao,927153
2010,Cusco,1226106
2010,Huancavelica,441097
2010,Huánuco,774475
2010,Ica,766179
2010,Junín,1279658
2010,La Libertad,1711902
2010,Lambayeque,1160034
2010,Lima,8864719
2010,Loreto,930554
2010,Madre de Dios,123528
2010,Moquegua,168636
2010,Pasco,281169
2010,Piura,1764979
2010,Puno,1278940
2010,San Martín,773197
2010,Tacna,306325
2010,Tumbes,211526
2010,Ucayali,467374
2011,Amazonas,407347
2011,Áncash,1100147
2011,Apurímac,427511
2011,Arequipa,1241530
2011,Ayacucho,646321
2011,Cajamarca,1425105
2011,Prov. Const. del Callao,940723
2011,Cusco,1231575
2011,Huancavelica,432381
2011,Huánuco,770088
2011,Ica,779799
2011,Junín,1281293
2011,La Libertad,1730877
2011,Lambayeque,1167862
2011,Lima,8978550
2011,Loreto,935307
2011,Madre de Dios,127117
2011,Moquegua,170028
2011,Pasco,279306
2011,Piura,1781317
2011,Puno,1270389
2011,San Martín,781052
2011,Tacna,310525
2011,Tumbes,214047
2011,Ucayali,475528
2012,Amazonas,407069
2012,Áncash,1102118
2012,Apurímac,425396
2012,Arequipa,1259686
2012,Ayacucho,645093
2012,Cajamarca,1419957
2012,Prov. Const. del Callao,954212
2012,Cusco,1237327
2012,Huancavelica,422373
2012,Huánuco,764721
2012,Ica,794286
2012,Junín,1282363
2012,La Libertad,1749812
2012,Lambayeque,1175747
2012,Lima,9092487
2012,Loreto,939560
2012,Madre de Dios,130783
2012,Moquegua,171378
2012,Pasco,276967
2012,Piura,1798032
2012,Puno,1259842
2012,San Martín,788660
2012,Tacna,314774
2012,Tumbes,216587
2012,Ucayali,483932
2013,Amazonas,406961
2013,Áncash,1104932
2013,Apurímac,423432
2013,Arequipa,1279463
2013,Ayacucho,643788
2013,Cajamarca,1415353
2013,Prov. Const. del Callao,968519
2013,Cusco,1244174
2013,Huancavelica,411961
2013,Huánuco,759313
2013,Ica,810074
2013,Junín,1284027
2013,La Libertad,1770194
2013,Lambayeque,1184583
2013,Lima,9214448
2013,Loreto,944233
2013,Madre de Dios,134665
2013,Moquegua,172841
2013,Pasco,274546
2013,Piura,1816435
2013,Puno,1249014
2013,San Martín,796778
2013,Tacna,319332
2013,Tumbes,219323
2013,Ucayali,492957
2014,Amazonas,407397
2014,Áncash,1109353
2014,Apurímac,422017
2014,Arequipa,1301668
2014,Ayacucho,643251
2014,Cajamarca,1412600
2014,Prov. Const. del Callao,984551
2014,Cusco,1252924
2014,Huancavelica,402033
2014,Huánuco,754809
2014,Ica,827591
2014,Junín,1287449
2014,La Libertad,1793523
2014,Lambayeque,1195260
2014,Lima,9352360
2014,Loreto,950243
2014,Madre de Dios,138902
2014,Moquegua,174570
2014,Pasco,272435
2014,Piura,1837836
2014,Puno,1239621
2014,San Martín,806153
2014,Tacna,324461
2014,Tumbes,222435
2014,Ucayali,502972
2015,Amazonas,408751
2015,Áncash,1116151
2015,Apurímac,421546
2015,Arequipa,1327106
2015,Ayacucho,644322
2015,Cajamarca,1413007
2015,Prov. Const. del Callao,1003208
2015,Cusco,1264393
2015,Huancavelica,393473
2015,Huánuco,752150
2015,Ica,847268
2015,Junín,1293785
2015,La Libertad,1821292
2015,Lambayeque,1208672
2015,Lima,9514151
2015,Loreto,958509
2015,Madre de Dios,143639
2015,Moquegua,176719
2015,Pasco,271027
2015,Piura,1863545
2015,Puno,1233379
2015,San Martín,817542
2015,Tacna,330422
2015,Tumbes,226099
2015,Ucayali,514343
2016,Amazonas,411525
2016,Áncash,1126698
2016,Apurímac,422534
