Año,Trimestre,Departamento,Poblacion_Trimestral,Periodo,Tasa_Crecimiento_Trimestral_%
2015,T1,Amazonas,409444,2015-T1,0.1695408696247838
2015,T2,Amazonas,410138,2015-T2,0.16949814870898097
2015,T3,Amazonas,410832,2015-T3,0.16921133862260995
2015,T4,Amazonas,411525,2015-T4,0.16868208902909218
2016,T1,Amazonas,412511,2016-T1,0.2395966223194217
2016,T2,Amazonas,413497,2016-T2,0.23902392905886144
2016,T3,Amazonas,414483,2016-T3,0.23845396701789853
2016,T4,Amazonas,415469,2016-T4,0.2378867167049071
2017,T1,Amazonas,416560,2017-T1,0.2625948025003069
2017,T2,Amazonas,417651,2017-T2,0.26190704820434035
2017,T3,Amazonas,418742,2017-T3,0.2612228870516292
2017,T4,Amazonas,419833,2017-T4,0.2605422909572004
2018,T1,Amazonas,420840,2018-T1,0.23985727658378453
2018,T2,Amazonas,421848,2018-T2,0.23952095808383234
2018,T3,Amazonas,422856,2018-T3,0.23894862604540024
2018,T4,Amazonas,423863,2018-T4,0.2381425355203663
2019,T1,Amazonas,424599,2019-T1,0.17364101136452106
2019,T2,Amazonas,425334,2019-T2,0.17310450566299027
2019,T3,Amazonas,426070,2019-T3,0.1730404811277725
2019,T4,Amazonas,426806,2019-T4,0.1727415682869012
2020,T1,Amazonas,427232,2020-T1,0.09981115541955829
2020,T2,Amazonas,427659,2020-T2,0.09994569695153921
2020,T3,Amazonas,428086,2020-T3,0.09984590526564388
2020,T4,Amazonas,428512,2020-T4,0.0995127147348897
2021,T1,Amazonas,428755,2021-T1,0.056707863490404
2021,T2,Amazonas,428998,2021-T2,0.05667572389826357
2021,T3,Amazonas,429240,2021-T3,0.056410519396360825
2021,T4,Amazonas,429483,2021-T4,0.05661168577019849
2022,T1,Amazonas,429598,2022-T1,0.026776379973130485
2022,T2,Amazonas,429713,2022-T2,0.026769212147170145
2022,T3,Amazonas,429828,2022-T3,0.026762048157723876
2022,T4,Amazonas,429943,2022-T4,0.026754888001712312
2023,T1,Amazonas,429988,2023-T1,0.010466503699327586
2023,T2,Amazonas,430033,2023-T2,0.010465408336976846
2023,T3,Amazonas,430078,2023-T3,0.0104643132038704
2023,T4,Amazonas,430123,2023-T4,0.010463218299936291
2024,T1,Amazonas,430155,2024-T1,0.007439732355628506
2024,T2,Amazonas,430187,2024-T2,0.0074391789006288435
2024,T3,Amazonas,430219,2024-T3,0.007438625527968069
2024,T4,Amazonas,430251,2024-T4,0.007438072237627813
2025,T1,Amazonas,430315,2025-T1,0.01487503805917941
2025,T2,Amazonas,430379,2025-T2,0.014872825720692982
2025,T3,Amazonas,430443,2025-T3,0.014870614040183187
2025,T4,Amazonas,430507,2025-T4,0.014868403017356537
2015,T1,Apurímac,421793,2015-T1,0.05859384266485746
2015,T2,Apurímac,422040,2015-T2,0.058559530385757945
2015,T3,Apurímac,422287,2015-T3,0.05852525826935836
2015,T4,Apurímac,422534,2015-T4,0.058491026245183965
2016,T1,Apurímac,423080,2016-T1,0.12922037043172857
2016,T2,Apurímac,423626,2016-T2,0.12905360688285902
2016,T3,Apurímac,424171,2016-T3,0.12865121593103349
2016,T4,Apurímac,424717,2016-T4,0.12872167121278918
2017,T1,Apurímac,425368,2017-T1,0.1532785360604826
2017,T2,Apurímac,426020,2017-T2,0.15327904308739726
2017,T3,Apurímac,426672,2017-T3,0.15304445800666636
2017,T4,Apurímac,427323,2017-T4,0.15257621779727754
